"","cell_ID","latitude","longitude","long","lat","biomass","gridcell"
"1832",89169,69.756890121,-144.066137926,-144,69.5,252.390060424805,"_69.5_-144"
"1833",91437,69.740150121,-145.295981926,-145,69.5,253.275024414062,"_69.5_-145"
"1834",75697,69.848960121,-145.272023926,-145,69.5,129.795486450195,"_69.5_-145"
"1835",82940,69.798740121,-145.455701926,-145,69.5,340.627593994141,"_69.5_-145"
"1836",117312,69.564380121,-141.750197926,-141.5,69.5,328.373748779297,"_69.5_-141.5"
"1837",59891,69.957770121,-145.775141926,-145.5,69.5,208.875869750977,"_69.5_-145.5"
"1838",68766,69.899180121,-142.596713926,-142.5,69.5,130.005859375,"_69.5_-142.5"
"1839",69890,69.890810121,-143.291495926,-143,69.5,216.365036010742,"_69.5_-143"
"1840",68722,69.899180121,-142.948097926,-142.5,69.5,164.218215942383,"_69.5_-142.5"
"1841",67376,69.907550121,-144.026207926,-144,69.5,163.331848144531,"_69.5_-144"
"1842",45589,70.058210121,-143.938361926,-143.5,70,164.80207824707,"_70_-143.5"
"1843",60214,69.957770121,-143.195663926,-143,69.5,196.306350708008,"_69.5_-143"
"1844",48062,70.041470121,-143.531075926,-143.5,70,156.899032592773,"_70_-143.5"
"1845",98576,69.689930121,-146.310203926,-146,69.5,187.422302246094,"_69.5_-146"
"1846",125530,69.505790121,-143.818571926,-143.5,69.5,292.590393066406,"_69.5_-143.5"
"1847",91635,69.740150121,-143.714753926,-143.5,69.5,296.497894287109,"_69.5_-143.5"
"1848",99009,69.689930121,-142.852265926,-142.5,69.5,336.409484863281,"_69.5_-142.5"
"1849",115838,69.572750121,-143.850515926,-143.5,69.5,297.232177734375,"_69.5_-143.5"
"1850",105214,69.648080121,-141.654365926,-141.5,69.5,111.616661071777,"_69.5_-141.5"
"1851",112209,69.597860121,-143.818571926,-143.5,69.5,312.519409179688,"_69.5_-143.5"
"1852",74816,69.857330121,-142.636643926,-142.5,69.5,128.182647705078,"_69.5_-142.5"
"1853",67200,69.907550121,-145.431743926,-145,69.5,238.755462646484,"_69.5_-145"
"1854",71049,69.882440121,-143.706767926,-143.5,69.5,361.3759765625,"_69.5_-143.5"
"1855",98665,69.689930121,-145.599449926,-145.5,69.5,266.407806396484,"_69.5_-145.5"
"1856",113509,69.589490121,-143.107817926,-143,69.5,426.06494140625,"_69.5_-143"
"1857",96757,69.706670121,-141.494645926,-141,69.5,198.112991333008,"_69.5_-141"
"1858",77069,69.840590121,-143.986277926,-143.5,69.5,264.828948974609,"_69.5_-143.5"
"1859",55417,69.991250121,-142.820321926,-142.5,69.5,144.236099243164,"_69.5_-142.5"
"1860",90418,69.748520121,-143.762669926,-143.5,69.5,405.247253417969,"_69.5_-143.5"
"1861",45603,70.058210121,-143.826557926,-143.5,70,212.183456420898,"_70_-143.5"
"1862",115925,69.572750121,-143.155733926,-143,69.5,460.100372314453,"_69.5_-143"
"1863",65881,69.915920121,-146.294231926,-146,69.5,146.660095214844,"_69.5_-146"
"1864",136298,69.430460121,-144.864737926,-144.5,69,282.434051513672,"_69_-144.5"
"1865",80573,69.815480121,-145.016471926,-145,69.5,269.807952880859,"_69.5_-145"
"1866",99841,69.681560121,-145.878959926,-145.5,69.5,149.685165405273,"_69.5_-145.5"
"1867",75870,69.848960121,-143.890445926,-143.5,69.5,283.144836425781,"_69.5_-143.5"
"1868",67089,69.907550121,-146.318189926,-146,69.5,187.206466674805,"_69.5_-146"
"1869",96393,69.706670121,-144.401549926,-144,69.5,210.390335083008,"_69.5_-144"
"1870",105134,69.648080121,-142.293245926,-142,69.5,403.484222412109,"_69.5_-142"
"1871",116942,69.564380121,-144.705017926,-144.5,69.5,371.211029052734,"_69.5_-144.5"
"1872",90389,69.748520121,-143.994263926,-143.5,69.5,394.404296875,"_69.5_-143.5"
"1873",111930,69.597860121,-146.046665926,-146,69.5,333.342346191406,"_69.5_-146"
"1874",79672,69.823850121,-142.540811926,-142.5,69.5,145.887252807617,"_69.5_-142.5"
"1875",68457,69.899180121,-145.064387926,-145,69.5,313.873870849609,"_69.5_-145"
"1876",92958,69.731780121,-142.820321926,-142.5,69.5,206.596969604492,"_69.5_-142.5"
"1877",125588,69.505790121,-143.355383926,-143,69.5,610.416564941406,"_69.5_-143"
"1878",126785,69.497420121,-143.467187926,-143,69,614.481506347656,"_69_-143"
"1879",113564,69.589490121,-142.668587926,-142.5,69.5,436.904541015625,"_69.5_-142.5"
"1880",66233,69.915920121,-143.483159926,-143,69.5,153.572738647461,"_69.5_-143"
"1881",67125,69.907550121,-146.030693926,-146,69.5,449.525604248047,"_69.5_-146"
"1882",85510,69.782000121,-144.273773926,-144,69.5,395.185455322266,"_69.5_-144"
"1883",123426,69.522530121,-141.279023926,-141,69.5,577.847900390625,"_69.5_-141"
"1884",94090,69.723410121,-143.451215926,-143,69.5,257.541717529297,"_69.5_-143"
"1885",76801,69.840590121,-146.126525926,-146,69.5,316.541595458984,"_69.5_-146"
"1886",132752,69.455570121,-144.169955926,-144,69,433.829528808594,"_69_-144"
"1887",57699,69.974510121,-143.938361926,-143.5,69.5,239.171112060547,"_69.5_-143.5"
"1888",90235,69.748520121,-145.224107926,-145,69.5,428.985046386719,"_69.5_-145"
"1889",67362,69.907550121,-144.138011926,-144,69.5,143.208190917969,"_69.5_-144"
